Timestamp,Do you agree with the statements above?,What age bracket do you belong to?,What is your gender?,What is the most common reason for you to visit a theme park?,How often do you visit a theme park?,"Do you have a specific preference for visiting theme parks during certain seasons, or are you open to visiting throughout the year?",At what time of the week do you typically visit a theme park?,During which quarter of the year do you most prefer to visit theme parks?,Do you plan your theme park visits around school holidays and breaks?,Would you consider visiting a theme park during off-peak seasons to avoid crowds and potentially lower ticket prices?,"Do you enjoy attending special events at theme parks, such as Halloween parties or Christmas celebrations?",What attractions do you visit in theme parks?,What kinds of rides do you visit?,"How often do you visit each type of ride? [Thrill Rides (High-speed roller coasters, Drop towers...)]","How often do you visit each type of ride? [Family Rides (Carousels, Ferris wheels...)]","How often do you visit each type of ride? [Kiddie Rides (Mini Coasters, Teacup rides...)]","How often do you visit each type of ride? [Water Rides (Water slides, Splash pads...)]","How often do you visit each type of ride? [Interactive Rides (Shooting galleries, Simulators...)]","How often do you visit each type of ride? [Show Rides (Storytelling Rides, Horror Houses...)]","Aside from Rides, what other attractions do you visit in theme parks?",What kinds of shows do you visit?,"How often do you visit each shows? [Stage shows (Live performances, Theatrical Productions...)]","How often do you visit each shows? [Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales)]","How often do you visit each shows? [Parades (Floats, Dancers...)]",How often do you visit each shows? [Nighttime Performances (Fireworks Display...)],"Aside from Entertainment, what other attractions do you visit in theme parks?",What kinds of Food do you prefer when visiting a theme park?,How often do you visit each food choice? [Fast Food],How often do you visit each food choice? [Restaurants],How often do you visit each food choice? [Food Trucks or Snacks],"Aside from Food, what other attractions do you visit in theme parks?",What kinds of merchandise do you usually purchase when visiting a theme park?,"How often do you visit each shop? [Souvenirs (fridge magnets, keychains...)]","How often do you visit each shop? [Apparel (hats, shirts...)]","How often do you visit each shop? [Gift Shop (plushies, toys...)]","How often do you visit each shop? [Photo Services (photo booths, meet-and-greet photos...)]","Aside from Shopping, what other attractions do you visit in theme parks?"
4/3/2024 21:30:10,I agree,26-40,Male,"Vacation, Family Outing",Once a year,I am open to visiting throughout the year,Both,,,,,"Rides (Roller coasters, Ferris wheels...)","Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",1,3,1,4,4,4,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",4,4,4,4,"Food and Dining (Fast Food, Restaurants, Snacks)",Food Trucks or Snacks,1,1,4,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...)",3,3,3,1,None anymore
4/3/2024 21:43:03,I agree,18-25,Male,Family Outing,Once a year,I prefer visiting during specific seasons,Both,4th Quarter (Oct - Dec),Yes,Yes,No,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",3,4,2,5,5,5,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,3,5,5,None anymore,,,,,,,,,,,
4/3/2024 21:43:20,I agree,18-25,Female,"Vacation, Special Occasion, Date",2-3 times a year,I am open to visiting throughout the year,Weekdays,,,,,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,3,2,5,4,5,None anymore,"Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,5,4,5,"Rides (Roller coasters, Ferris wheels...)",,,,,,,,,,,
4/3/2024 21:43:43,I agree,18-25,Male,Family Outing,Once a year,I prefer visiting during specific seasons,Weekdays,2nd Quarter (Apr - Jun),No,Yes,No,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Kiddie Rides (Mini Coasters, Teacup rides...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,5,5,5,5,5,"Food and Dining (Fast Food, Restaurants, Snacks)",,,,,,,"Restaurants, Food Trucks or Snacks",3,5,5,None anymore,,,,,,
4/3/2024 21:50:47,I agree,18-25,Male,"Vacation, Family Outing",Once a year,I prefer visiting during specific seasons,Both,4th Quarter (Oct - Dec),Yes,Yes,No,"Food and Dining (Fast Food, Restaurants, Snacks)",,,,,,,,,"Stage shows (Live performances, Theatrical Productions...), Nighttime Performances (Fireworks Display...)",3,2,4,5,None anymore,Food Trucks or Snacks,4,5,4,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)",,,,,,
4/3/2024 21:52:58,I agree,18-25,Female,"Vacation, Family Outing",Once a year,I prefer visiting during specific seasons,Weekdays,2nd Quarter (Apr - Jun),No,No,Yes,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...)",2,5,4,4,1,2,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Nighttime Performances (Fireworks Display...)",1,1,3,4,None anymore,,,,,,,,,,,
4/3/2024 21:56:04,I agree,18-25,Female,"Vacation, Family Outing, Special Occasion",2-3 times a year,I prefer visiting during specific seasons,Both,4th Quarter (Oct - Dec),Yes,Yes,No,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)",,,,,,,,,Nighttime Performances (Fireworks Display...),3,3,3,5,"Food and Dining (Fast Food, Restaurants, Snacks)",Food Trucks or Snacks,3,3,5,None anymore,,,,,,
4/3/2024 22:05:42,I agree,41-55,Male,"Vacation, Family Outing, Special Occasion",2-3 times a year,I am open to visiting throughout the year,Both,,,,,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Family Rides (Carousels, Ferris wheels...), Interactive Rides (Shooting galleries, Simulators...)",2,4,3,1,3,3,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,1,5,5,"Rides (Roller coasters, Ferris wheels...)",,,,,,"Souvenirs (fridge magnets, keychains...)",5,1,1,2,None anymore
4/3/2024 22:05:50,I agree,41-55,Female,Family Outing,2-3 times a year,I am open to visiting throughout the year,Weekends,,,,,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)",,,,,,,,,"Stage shows (Live performances, Theatrical Productions...)",1,1,1,1,"Food and Dining (Fast Food, Restaurants, Snacks)",Food Trucks or Snacks,3,3,3,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",3,3,2,2,None anymore
4/3/2024 22:08:04,I agree,18-25,Male,Family Outing,Once a year,I prefer visiting during specific seasons,Both,2nd Quarter (Apr - Jun),No,Yes,Yes,"Rides (Roller coasters, Ferris wheels...)","Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...)",5,5,2,5,5,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,,"Fast Food, Restaurants",4,5,3,None anymore,"Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...)",5,5,5,3,"Food and Dining (Fast Food, Restaurants, Snacks)"
4/3/2024 22:13:17,I agree,18-25,Female,Vacation,2-3 times a year,I prefer visiting during specific seasons,Both,2nd Quarter (Apr - Jun),Yes,Yes,Yes,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...)",3,2,1,1,1,1,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,,Food Trucks or Snacks,2,2,3,None anymore,"Souvenirs (fridge magnets, keychains...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",5,2,2,2,"Food and Dining (Fast Food, Restaurants, Snacks)"
4/3/2024 22:17:58,I agree,18-25,Male,Special Occasion,2-3 times a year,I am open to visiting throughout the year,Weekends,,,,,"Food and Dining (Fast Food, Restaurants, Snacks)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",4,3,1,4,4,4,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",3,2,3,4,None anymore,"Fast Food, Restaurants, Food Trucks or Snacks",3,3,3,"Rides (Roller coasters, Ferris wheels...)","Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",4,4,4,4,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)"
4/3/2024 22:21:13,I agree,18-25,Male,Vacation,Once a year,I prefer visiting during specific seasons,Weekends,4th Quarter (Oct - Dec),Yes,Yes,No,"Food and Dining (Fast Food, Restaurants, Snacks)","Thrill Rides (High-speed roller coasters, Drop towers...), Interactive Rides (Shooting galleries, Simulators...)",4,2,1,1,4,3,None anymore,,,,,,,Fast Food,4,3,3,"Rides (Roller coasters, Ferris wheels...)",,,,,,
4/3/2024 22:22:24,I agree,18-25,Male,"Vacation, Family Outing, Special Occasion",2-3 times a year,I prefer visiting during specific seasons,Weekends,4th Quarter (Oct - Dec),No,Yes,Yes,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Thrill Rides (High-speed roller coasters, Drop towers...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...)",4,1,1,5,4,3,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",4,3,4,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Fast Food, Food Trucks or Snacks",5,3,4,"Rides (Roller coasters, Ferris wheels...)","Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...)",3,3,4,3,None anymore
4/3/2024 22:26:07,I agree,18-25,Male,Family Outing,Once a year,I am open to visiting throughout the year,Weekdays,,,,,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,1,2,4,5,4,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,,,,,,,"Apparel (hats, shirts...), Gift Shop (plushies, toys...)",3,5,4,1,None anymore
4/3/2024 23:32:07,I agree,Under 18,Male,"Vacation, Family Outing, Special Occasion",Once a year,I am open to visiting throughout the year,Weekends,,,,,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,3,2,2,5,4,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",3,2,3,3,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,"Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...)",4,3,4,2,None anymore
4/4/2024 5:05:51,I agree,26-40,Female,Vacation,Once a year,I prefer visiting during specific seasons,Both,4th Quarter (Oct - Dec),Yes,Yes,Yes,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Family Rides (Carousels, Ferris wheels...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",3,4,2,3,5,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,3,4,5,"Rides (Roller coasters, Ferris wheels...)",,,,,,"Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",5,5,5,4,None anymore
4/4/2024 17:46:08,I agree,26-40,Male,"Vacation, Family Outing",Once a year,I am open to visiting throughout the year,Weekends,,,,,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)",,,,,,,,,"Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",4,5,4,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Restaurants, Food Trucks or Snacks",2,4,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",5,4,2,4,None anymore
4/4/2024 17:47:42,I agree,56 and over,Female,"Vacation, Family Outing",2-3 times a year,I prefer visiting during specific seasons,Both,4th Quarter (Oct - Dec),Yes,Yes,Yes,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)",,,,,,,,,"Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,1,3,4,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,"Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...)",5,5,3,2,None anymore
4/4/2024 17:49:59,I agree,Under 18,Female,"Family Outing, Field Trip",Once a year,I prefer visiting during specific seasons,Weekends,4th Quarter (Oct - Dec),Yes,Yes,Yes,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Kiddie Rides (Mini Coasters, Teacup rides...), Water Rides (Water slides, Splash pads...), Show Rides (Storytelling Rides, Horror Houses...)",4,2,4,5,1,4,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",4,5,4,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Fast Food, Restaurants, Food Trucks or Snacks",5,5,5,None anymore,,,,,,
4/4/2024 17:52:19,I agree,41-55,Male,Whenever I have free time,Once a year,I am open to visiting throughout the year,Both,,,,,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",1,2,2,4,5,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",4,2,3,4,"Rides (Roller coasters, Ferris wheels...)","Restaurants, Food Trucks or Snacks",2,3,3,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Apparel (hats, shirts...)",2,4,3,2,None anymore
4/4/2024 17:53:56,I agree,26-40,Prefer not to say,Vacation,2-3 times a year,I prefer visiting during specific seasons,Weekdays,1st Quarter (Jan - Mar),No,No,Yes,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Thrill Rides (High-speed roller coasters, Drop towers...), Water Rides (Water slides, Splash pads...), Show Rides (Storytelling Rides, Horror Houses...)",4,1,1,5,1,5,None anymore,"Stage shows (Live performances, Theatrical Productions...), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",3,2,4,4,"Rides (Roller coasters, Ferris wheels...)",,,,,,,,,,,
4/4/2024 17:55:41,I agree,Under 18,Male,Family Outing,Once a year,I prefer visiting during specific seasons,Weekends,1st Quarter (Jan - Mar),Yes,No,Yes,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Kiddie Rides (Mini Coasters, Teacup rides...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,5,5,5,5,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,5,4,5,"Rides (Roller coasters, Ferris wheels...)","Fast Food, Restaurants, Food Trucks or Snacks",5,5,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",1,1,5,5,None anymore
4/4/2024 19:32:59,I agree,18-25,Female,Family Outing,Once a year,I am open to visiting throughout the year,Both,,,,,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Kiddie Rides (Mini Coasters, Teacup rides...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,5,3,5,5,5,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Stage shows (Live performances, Theatrical Productions...), Character Meet-and-Greets (Interact with characters from movies, cartoons and fairy tales), Parades (Floats, Dancers...), Nighttime Performances (Fireworks Display...)",5,4,4,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)",,,,,,"Souvenirs (fridge magnets, keychains...), Apparel (hats, shirts...), Gift Shop (plushies, toys...), Photo Services (photo booths, meet-and-greet photos...)",3,4,5,5,None anymore
4/4/2024 19:44:38,I agree,18-25,Male,"Vacation, Family Outing, Special Occasion, Date",Once a year,I prefer visiting during specific seasons,Weekends,4th Quarter (Oct - Dec),Yes,Yes,Yes,"Rides (Roller coasters, Ferris wheels...)","Thrill Rides (High-speed roller coasters, Drop towers...), Family Rides (Carousels, Ferris wheels...), Water Rides (Water slides, Splash pads...), Interactive Rides (Shooting galleries, Simulators...), Show Rides (Storytelling Rides, Horror Houses...)",5,2,1,3,4,5,"Food and Dining (Fast Food, Restaurants, Snacks)","Stage shows (Live performances, Theatrical Productions...), Nighttime Performances (Fireworks Display...)",5,2,1,5,"Shopping and Merchandise (Gift Shops, Souvenirs & Photo Services)","Fast Food, Restaurants, Food Trucks or Snacks",3,4,5,"Entertainment and Shows (Parades, Fireworks, Character Meet-and-Greets)","Photo Services (photo booths, meet-and-greet photos...)",,,,5,None anymore
